Project,instance,module,cell_count,cell_area_um2,net_area_um2,total_area_um2,area_percent
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,inverse_row_current,InverseRow,97,169.848,33.045,202.893,1.296
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,inverse_row_lane1,InverseRow_212,97,169.848,33.045,202.893,1.296
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,multip0,Multip,599,626.472,246.268,872.74,5.573
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,multip1,Multip_220,597,627.228,245.272,872.5,5.571
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,multip2,Multip_219,598,626.22,245.893,872.113,5.569
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,multip3,Multip_218,597,627.984,245.272,873.256,5.576
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,multip4,Multip_217,601,635.04,250.0,885.04,5.651
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,multip5,Multip_216,601,635.796,250.129,885.925,5.657
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,multip6,Multip_215,608,637.056,251.869,888.925,5.676
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,multip7,Multip_214,601,635.922,250.129,886.051,5.658
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,trf,Transform,2354,1696.59,778.478,2475.068,15.805
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,matrix_c0,MatrixC0,1310,878.724,351.722,1230.446,7.857
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,matrix_c1,MatrixC1,1044,817.866,274.766,1092.632,6.977
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,Conv,Conv,6483,8034.138,2978.228,11012.366,100.0
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,MULTIP_BLOCK[0].multip,Multip,596,625.59,245.518,871.108,7.91
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,MULTIP_BLOCK[1].multip,Multip_245,596,625.968,245.518,871.486,7.914
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,MULTIP_BLOCK[2].multip,Multip_244,596,625.842,245.518,871.36,7.913
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,MULTIP_BLOCK[3].multip,Multip_243,596,625.59,245.518,871.108,7.91
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,STREAM_FOUR_MAC_BLOCK.inverse_row_acc,InverseRowAccumulate,361,325.962,138.828,464.79,4.221
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,STREAM_FOUR_MAC_BLOCK.inverse_row_current,InverseRow,97,169.848,33.045,202.893,1.842
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,trf,Transform,968,1401.876,366.811,1768.687,16.061
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,matrix_c0,MatrixC0,484,701.316,127.315,828.631,7.525
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,matrix_c1,MatrixC1,484,700.56,127.315,827.875,7.518
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,Conv,Conv,7917,9938.376,3750.432,13688.808,100.0
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,inverse_row_acc,InverseRowAccumulate,361,326.214,138.828,465.042,3.397
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,inverse_row_current,InverseRow,97,169.848,33.045,202.893,1.482
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,multip0,Multip,597,625.716,245.893,871.609,6.367
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,multip1,Multip_384,597,625.716,245.647,871.363,6.366
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,multip2,Multip_383,596,625.59,245.518,871.108,6.364
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,multip3,Multip_382,596,625.59,245.518,871.108,6.364
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,trf,Transform,968,1401.876,366.811,1768.687,12.921
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,matrix_c0,MatrixC0,484,701.316,127.315,828.631,6.053
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,matrix_c1,MatrixC1,484,700.56,127.315,827.875,6.048
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,weight_trf_row0,WeightTransformRowConst,323,332.388,113.752,446.14,3.259
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,weight_trf_row1,WeightTransformRowConst_0,573,836.892,262.561,1099.453,8.032
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,weight_trf_row2,WeightTransformRowConst_1,596,811.566,271.053,1082.619,7.909
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,weight_trf_row3,WeightTransformRowConst_2,269,312.102,95.707,407.809,2.979
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,Conv,Conv,8142,10036.152,3799.873,13836.025,100.0
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,inverse_row_acc,InverseRowAccumulate,389,357.588,150.807,508.395,3.674
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,inverse_row_current,InverseRow,108,187.866,36.699,224.565,1.623
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,multip0,MultipSpatialExact,671,701.946,293.568,995.514,7.195
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,multip1,MultipSpatialExact_298,693,732.69,285.858,1018.548,7.362
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,multip2,MultipSpatialExact_297,693,733.068,286.104,1019.172,7.366
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,multip3,MultipSpatialExact_296,671,701.946,293.568,995.514,7.195
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,trf,Transform,968,1401.876,366.811,1768.687,12.783
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,matrix_c0,MatrixC0,484,701.316,127.315,828.631,5.989
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,matrix_c1,MatrixC1,484,700.56,127.315,827.875,5.983
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,weight_trf_row0,WeightTransformRowConst,283,263.844,76.632,340.476,2.461
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,weight_trf_row1,WeightTransformRowConst_0,496,701.316,193.489,894.805,6.467
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,weight_trf_row2,WeightTransformRowConst_1,521,675.99,202.48,878.47,6.349
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,weight_trf_row3,WeightTransformRowConst_2,229,242.928,63.367,306.295,2.214
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,Conv,Conv,7921,9969.372,3748.996,13718.368,100.0
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,inverse_row_acc,InverseRowAccumulate,361,326.214,138.828,465.042,3.39
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,inverse_row_current,InverseRow,97,169.848,33.045,202.893,1.479
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,multip0,Multip,597,625.716,245.893,871.609,6.354
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,multip1,Multip_410,597,625.716,245.647,871.363,6.352
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,multip2,Multip_409,596,625.59,245.518,871.108,6.35
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,multip3,Multip_408,596,625.59,245.518,871.108,6.35
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,trf,Transform,968,1401.876,366.811,1768.687,12.893
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,matrix_c0,MatrixC0,484,701.316,127.315,828.631,6.04
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,matrix_c1,MatrixC1,484,700.56,127.315,827.875,6.035
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,weight_row_next,WeightTransformRow_0,164,102.69,50.437,153.127,1.116
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,weight_trf,WeightTransform,1595,2222.388,678.276,2900.664,21.144
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,Conv,Conv,8473,8467.074,3660.696,12127.77,100.0
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,inverse_row_acc,InverseRowAccumulate,339,331.128,133.279,464.407,3.829
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,inverse_row_current,InverseRow,97,171.36,33.045,204.405,1.685
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,multip0,Multip,624,641.214,255.517,896.731,7.394
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,multip1,Multip_232,630,642.348,256.746,899.094,7.414
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,multip2,Multip_231,630,642.096,256.746,898.842,7.411
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,multip3,Multip_230,587,629.118,244.024,873.142,7.2
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,trf,Transform,2829,1875.258,934.706,2809.964,23.17
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,matrix_c0,MatrixC0,1470,974.736,393.718,1368.454,11.284
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,matrix_c1,MatrixC1,1359,900.522,365.764,1266.286,10.441
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,Conv,Conv,6515,7875.882,2982.102,10857.984,100.0
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,inverse_row_acc,InverseRowAccumulate,357,324.828,137.819,462.647,4.261
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,inverse_row_current,InverseRow,97,169.848,33.045,202.893,1.869
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,multip0,Multip,596,625.59,245.518,871.108,8.023
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,multip1,Multip_231,596,625.59,245.395,870.985,8.022
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,multip2,Multip_230,596,625.716,245.518,871.234,8.024
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,multip3,Multip_229,596,625.59,245.518,871.108,8.023
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,trf,Transform,968,1401.876,366.811,1768.687,16.289
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,matrix_c0,MatrixC0,484,701.316,127.315,828.631,7.632
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,matrix_c1,MatrixC1,484,700.56,127.315,827.875,7.625
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,Conv,Conv,6407,7872.858,2950.325,10823.183,100.0
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,inverse_row_acc,InverseRowAccumulate,361,326.214,138.828,465.042,4.297
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,inverse_row_current,InverseRow,97,169.848,33.045,202.893,1.875
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,multip0,Multip,597,625.716,245.893,871.609,8.053
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,multip1,Multip_212,597,625.716,245.77,871.486,8.052
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,multip2,Multip_211,596,625.716,245.518,871.234,8.05
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,multip3,Multip_210,596,625.716,245.518,871.234,8.05
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,trf,Transform,968,1401.876,366.811,1768.687,16.342
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,matrix_c0,MatrixC0,484,701.316,127.315,828.631,7.656
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,matrix_c1,MatrixC1,484,700.56,127.315,827.875,7.649
Conv2x2-conv-i16-h16-t16-o4-m04-std,Conv,Conv,6613,8806.896,3211.029,12017.925,100.0
Conv2x2-conv-i16-h16-t16-o4-m04-std,MULTIP_BLOCK[0].multip,Multip,565,604.422,236.378,840.8,6.996
Conv2x2-conv-i16-h16-t16-o4-m04-std,MULTIP_BLOCK[1].multip,Multip_203,565,604.422,236.378,840.8,6.996
Conv2x2-conv-i16-h16-t16-o4-m04-std,MULTIP_BLOCK[2].multip,Multip_202,565,604.422,236.378,840.8,6.996
Conv2x2-conv-i16-h16-t16-o4-m04-std,MULTIP_BLOCK[3].multip,Multip_201,565,604.422,236.378,840.8,6.996
Conv2x2-conv-i16-h16-t16-o4-m04-std,inv,Inverse,582,1019.34,248.939,1268.279,10.553
Conv2x2-conv-i16-h16-t16-o4-m04-std,matrix_a0,MatrixA0,194,339.948,65.831,405.779,3.376
Conv2x2-conv-i16-h16-t16-o4-m04-std,matrix_a1,MatrixA1,388,679.392,132.179,811.571,6.753
Conv2x2-conv-i16-h16-t16-o4-m04-std,trf,Transform,968,1401.876,366.811,1768.687,14.717
Conv2x2-conv-i16-h16-t16-o4-m04-std,matrix_c0,MatrixC0,484,701.316,127.315,828.631,6.895
Conv2x2-conv-i16-h16-t16-o4-m04-std,matrix_c1,MatrixC1,484,700.56,127.315,827.875,6.889
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,Conv,Conv,6570,8118.936,3012.948,11131.884,100.0
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,inverse_row_acc,InverseRowAccumulate,357,325.08,137.819,462.899,4.158
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,inverse_row_current,InverseRow,97,169.848,33.045,202.893,1.823
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,multip0,Multip,597,625.716,245.893,871.609,7.83
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,multip1,Multip_230,597,625.716,245.77,871.486,7.829
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,multip2,Multip_229,596,625.716,245.518,871.234,7.826
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,multip3,Multip_228,596,625.716,245.518,871.234,7.826
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,trf,Transform,968,1401.876,366.811,1768.687,15.888
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,matrix_c0,MatrixC0,484,701.316,127.315,828.631,7.444
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,matrix_c1,MatrixC1,484,700.56,127.315,827.875,7.437
